,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
112,95.0,10.0,10.0,10.0,10.0,9.0,10.0
113,98.0,10.0,10.0,10.0,10.0,9.0,10.0
114,94.0,10.0,9.0,10.0,10.0,10.0,10.0
115,90.0,9.0,7.0,10.0,10.0,10.0,9.0
116,94.0,10.0,10.0,10.0,10.0,10.0,9.0
117,94.0,9.0,10.0,10.0,10.0,9.0,9.0
119,93.0,9.0,9.0,10.0,10.0,9.0,9.0
120,98.0,10.0,10.0,10.0,10.0,10.0,10.0
121,98.0,10.0,10.0,10.0,10.0,10.0,10.0
122,80.0,8.0,10.0,10.0,10.0,10.0,10.0
123,93.0,10.0,10.0,10.0,10.0,9.0,9.0
126,93.0,9.0,10.0,10.0,10.0,9.0,9.0
127,93.0,10.0,10.0,9.0,10.0,10.0,10.0
128,97.0,10.0,10.0,10.0,10.0,10.0,10.0
129,97.0,10.0,10.0,10.0,10.0,10.0,10.0
130,98.0,9.0,10.0,10.0,10.0,10.0,10.0
131,88.0,9.0,9.0,9.0,9.0,10.0,9.0
132,93.0,9.0,9.0,10.0,10.0,10.0,10.0
133,98.0,10.0,10.0,10.0,10.0,9.0,9.0
135,93.0,9.0,9.0,10.0,10.0,10.0,9.0
136,100.0,10.0,10.0,10.0,10.0,10.0,10.0
137,90.0,10.0,10.0,10.0,10.0,9.0,10.0
138,95.0,10.0,9.0,10.0,10.0,10.0,10.0
139,98.0,10.0,10.0,10.0,10.0,9.0,10.0
140,95.0,10.0,9.0,10.0,10.0,10.0,10.0
141,97.0,10.0,9.0,10.0,10.0,10.0,10.0
142,94.0,10.0,10.0,10.0,10.0,10.0,9.0
143,93.0,10.0,10.0,9.0,9.0,10.0,10.0
144,100.0,10.0,8.0,10.0,10.0,10.0,10.0
145,94.0,10.0,9.0,10.0,10.0,10.0,9.0
146,94.0,10.0,9.0,10.0,10.0,9.0,9.0
147,97.0,10.0,10.0,10.0,10.0,9.0,10.0
148,95.0,9.0,10.0,10.0,9.0,9.0,9.0
149,100.0,10.0,10.0,10.0,10.0,10.0,10.0
150,96.0,10.0,10.0,10.0,10.0,10.0,9.0
151,84.0,10.0,9.0,10.0,9.0,10.0,9.0
152,94.0,9.0,9.0,10.0,10.0,10.0,8.0
153,90.0,9.0,9.0,10.0,10.0,10.0,9.0
157,93.0,9.0,8.0,10.0,10.0,10.0,9.0
158,90.0,10.0,10.0,10.0,10.0,10.0,10.0
159,95.0,9.0,8.0,10.0,10.0,10.0,10.0
160,97.0,10.0,9.0,10.0,10.0,10.0,10.0
161,96.0,10.0,10.0,10.0,10.0,10.0,10.0
162,98.0,10.0,10.0,10.0,10.0,10.0,10.0
163,95.0,9.0,9.0,10.0,10.0,10.0,9.0
164,91.0,9.0,9.0,10.0,10.0,10.0,9.0
165,98.0,10.0,10.0,10.0,10.0,10.0,10.0
166,95.0,9.0,10.0,10.0,10.0,10.0,9.0
167,100.0,10.0,10.0,10.0,10.0,10.0,10.0
170,100.0,10.0,10.0,10.0,10.0,10.0,10.0
171,97.0,10.0,10.0,10.0,10.0,10.0,10.0
172,94.0,10.0,10.0,10.0,10.0,10.0,10.0
173,98.0,10.0,10.0,10.0,10.0,9.0,10.0
174,96.0,10.0,10.0,10.0,10.0,10.0,9.0
176,75.0,9.0,7.0,9.0,9.0,10.0,8.0
177,95.0,10.0,10.0,9.0,10.0,10.0,9.0
178,90.0,8.0,9.0,10.0,9.0,9.0,9.0
179,83.0,9.0,8.0,9.0,9.0,10.0,8.0
180,97.0,10.0,10.0,10.0,10.0,10.0,10.0
182,95.0,10.0,10.0,10.0,10.0,10.0,10.0
